word,grade,set (week),definition,sentence
either,4,31,one of two choices,You may choose either book.
neither,4,31,not one and not the other of two choices,Neither answer was correct.
goose,4,31,a large water bird with a long neck and webbed feet,A goose swam across the pond.
metal,4,31,"a material such as iron, copper, or aluminum that often conducts heat and electricity",The spoon is made of metal.
aloof,4,31,not friendly or interested in being with others,The shy cat seemed aloof around strangers.
moody,4,31,often changing between different moods,The character became moody when tired.
raccoon,4,31,a small mammal with a dark mask-like pattern around its eyes,A raccoon searched near the trash cans.
askew,4,31,not straight or level,The picture frame hung askew.
jewel,4,31,a valuable gemstone or piece of jewelry,A blue jewel sparkled in the necklace.
crew,4,31,"a group of people who work together, especially on a ship, aircraft, or production",The flight crew prepared the plane.
customary,4,31,usual or traditional,It is customary to shake hands in some situations.
kilometer,4,31,"a metric unit of length equal to 1,000 meters",The trail is one kilometer long.
millimeter,4,31,a metric unit of length equal to one-thousandth of a meter,The line is five millimeters wide.
centimeter,4,31,a metric unit of length equal to one-hundredth of a meter,The pencil is about fifteen centimeters long.
neighbor,4,32,a person who lives near you,Our neighbor brought us tomatoes.
result,4,32,what happens because of an action or experiment,Record the result of each trial.
camera,4,32,a device used to take photographs or video,She used a camera to photograph the bird.
video,4,32,a recording of moving images and sound,We watched a science video.
image,4,32,"a picture, photograph, or visual representation",The telescope captured an image of the moon.
frame,4,32,"a structure around something, or one still image in a video",The picture sits in a wooden frame.
movie,4,32,"a story or presentation shown as moving images, usually with sound",We watched a movie about space exploration.
digital,4,32,using electronic signals or computer data,We took a digital photograph.
cookies,4,32,small pieces of data that websites can store in a web browser,The website asked permission to use cookies.
brotherhood,4,32,"a feeling of friendship, unity, or shared purpose among people",The team developed a sense of brotherhood.
flooding,4,32,water covering land that is normally dry,Heavy rain caused flooding near the river.
crooked,4,32,"bent, curved, or not straight",The crooked branch leaned over the path.
footprint,4,32,a mark made by a foot or shoe,We found an animal footprint in the mud.
woodland,4,32,land covered with trees and shrubs,Deer moved through the woodland.
mistook,4,32,past tense of mistake; thought one thing was another,I mistook the blue bag for mine.
executive,4,32,relating to carrying out laws or managing an organization,The executive branch carries out federal laws.
judicial,4,32,relating to courts and judges,The judicial branch interprets laws.
legislative,4,32,relating to making laws,The legislative branch makes laws.
president,4,32,the elected head of a country such as the United States or the leader of an organization,The class president opened the meeting.
congress,4,32,"a lawmaking body, especially the national legislature of the United States",Congress includes the House and the Senate.
decade,4,33,a period of ten years,A decade is ten years.
century,4,33,a period of one hundred years,The building is more than a century old.
outside,4,33,not inside; on or toward the outer side,We waited outside the school.
everything,4,33,all things,Everything was ready for the picnic.
release,4,33,"to let go, set free, or make something available",They will release the rescued bird.
already,4,33,before now or earlier than expected,I already finished my homework.
instead,4,33,in place of something else,We walked instead of taking the bus.
phrase,4,33,a small group of words that works together but may not form a complete sentence,“Under the table” is a phrase.
distraction,4,33,something that takes attention away from a task,The loud noise was a distraction.
completion,4,33,the act of finishing something,We celebrated the completion of the project.
affection,4,33,a warm feeling of liking or caring,The dog showed affection by wagging its tail.
collection,4,33,a group of things gathered together,She has a collection of shells.
construction,4,33,the process of building something,Road construction slowed traffic.
profession,4,33,a type of skilled career that often requires special training,Teaching is a profession.
inspection,4,33,a careful examination,The mechanic performed an inspection of the car.
illegal,4,33,against the law,It is illegal to steal.
pollution,4,33,harmful substances or waste added to the environment,Reducing pollution helps protect rivers and air.
conservation,4,33,the protection and careful use of natural resources,Water conservation is important during a drought.
ecology,4,33,the study of how living things interact with one another and their environment,Ecology helps scientists understand ecosystems.
recycle,4,33,to process used material so it can be used again,We recycle paper and cans.
orange,4,34,a round citrus fruit with an orange-colored peel,I peeled an orange for lunch.
banana,4,34,a long curved fruit with a yellow peel when ripe,She sliced a banana onto her cereal.
grapefruit,4,34,a large citrus fruit with a yellow rind and tart flesh,He ate half a grapefruit for breakfast.
pineapple,4,34,a tropical fruit with rough skin and sweet yellow flesh,We added pineapple to the fruit salad.
strawberry,4,34,a small red fruit with tiny seeds on its surface,I picked a ripe strawberry.
apricot,4,34,a small orange fruit with a pit,The dried apricot tasted sweet.
lemon,4,34,a yellow citrus fruit with sour juice,She squeezed lemon into the water.
